academic_year,address,building_description,building_name,building_university_affiliated,building_url,city,contract__availability,contract__currency,contract__date_end,contract__date_start,contract__utilities_included,country,latitude,longitude,offers,operator,rent_pm,rent_pw,rent_total,room_amenities,room_name,room_type,tenancy_months,tenancy_type,tenancy_weeks
2023/2024,"1 - 107 Percys Place, Percys Lane, York, YO1 9TP","Perfect for students studying at theUniversity of YorkandSt Johns University conveniently located between the two and close to both campuses and inside the city walls.Percys Place has it all. Shared spaces where residents come together. An on-site gym for working out, cinema to catch a film, and a study room for when you want to get your head down.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!*Images are for illustrative purposes only",Percys Place,n/a,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.9568511,-1.075559,n/a,Hello Student,1287.0,297.0,13068.0,n/a,Classic Studio - Cityscape View,studio,10.2,shorter tenancy,44
2023/2024,"1 - 107 Percys Place, Percys Lane, York, YO1 9TP","Perfect for students studying at theUniversity of YorkandSt Johns University conveniently located between the two and close to both campuses and inside the city walls.Percys Place has it all. Shared spaces where residents come together. An on-site gym for working out, cinema to catch a film, and a study room for when you want to get your head down.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!*Images are for illustrative purposes only",Percys Place,n/a,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.9568511,-1.075559,n/a,Hello Student,1295.67,299.0,13156.0,n/a,Classic Bigger Studio,studio,10.2,shorter tenancy,44
2023/2024,"1 - 107 Percys Place, Percys Lane, York, YO1 9TP","Perfect for students studying at theUniversity of YorkandSt Johns University conveniently located between the two and close to both campuses and inside the city walls.Percys Place has it all. Shared spaces where residents come together. An on-site gym for working out, cinema to catch a film, and a study room for when you want to get your head down.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!*Images are for illustrative purposes only",Percys Place,n/a,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.9568511,-1.075559,n/a,Hello Student,1317.33,304.0,13376.0,n/a,Classic Bigger Studio - Cityscape View,studio,10.2,shorter tenancy,44
2023/2024,"10 Halsmere Road, London SE5 9LN","Perfectly located for students of Kings College London, Goldsmiths, University of the Arts, London South Bank University, and many more. And its so well connected. The bright lights of the West End and trendy Camberwell are only a short bus journey away. Thats more bars, restaurants, and cafes than you can shake a selfie stick at.A mix of historic and modern architecture. A design that perfectly balances space for work and play. Choose from 79 studio apartments, complete with everything youd expect from a contemporary studio. Need a little time away from the books? Head to the spacious common room. Play a few games of pool, or just chill out in front of the flat-screen TV.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",Halsmere Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/,London,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.4753738,-0.1047475,n/a,Hello Student,1733.33,400.0,17200.0,n/a,Classic Bigger Studio,studio,9.9,shorter tenancy,43
2023/2024,"10 Halsmere Road, London SE5 9LN","Perfectly located for students of Kings College London, Goldsmiths, University of the Arts, London South Bank University, and many more. And its so well connected. The bright lights of the West End and trendy Camberwell are only a short bus journey away. Thats more bars, restaurants, and cafes than you can shake a selfie stick at.A mix of historic and modern architecture. A design that perfectly balances space for work and play. Choose from 79 studio apartments, complete with everything youd expect from a contemporary studio. Need a little time away from the books? Head to the spacious common room. Play a few games of pool, or just chill out in front of the flat-screen TV.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",Halsmere Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/,London,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.4753738,-0.1047475,n/a,Hello Student,1794.0,414.0,17802.0,n/a,Classic XL Studio,studio,9.9,shorter tenancy,43
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,745.33,172.0,7568.0,n/a,Classic 3 Bed Apartment - Shared Bathroom,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,754.0,174.0,7656.0,n/a,Classic 2 Bed Apartment - Shared Bathroom,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,806.0,186.0,8184.0,n/a,Classic 2 Bed Apartment,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,available,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,810.33,187.0,8228.0,n/a,Classic 4 Bed Apartment,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,available,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,823.33,190.0,8360.0,n/a,Classic 3 Bed Apartment,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,849.33,196.0,8624.0,n/a,Classic 2 Bed Apartment - Private Courtyard,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,849.33,196.0,8624.0,n/a,Classic 3 Bed Apartment - Private Courtyard,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,849.33,196.0,8624.0,n/a,Classic 4 Bed Apartment - Private Courtyard,non-ensuite,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,923.0,213.0,9372.0,n/a,Classic Smaller Studio,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,931.67,215.0,9460.0,n/a,Classic Studio,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,983.67,227.0,9988.0,n/a,Classic Bigger Studio,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1170.0,270.0,11880.0,n/a,Classic Smaller 1-Bed Apartment,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1200.33,277.0,12188.0,n/a,Classic 1-Bed Apartment,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1230.67,284.0,12496.0,n/a,Classic 1-Bed Apartment - Great View,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1252.33,289.0,12716.0,n/a,Classic Bigger 1-Bed Apartment - Great View,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1261.0,291.0,12804.0,n/a,Classic Bigger 1-Bed Apartment - Balcony,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1321.67,305.0,13420.0,n/a,Classic 1-Bed Apartment - Balcony,studio,10.2,shorter tenancy,44
2023/2024,"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE","Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",Pavilion Court,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,Canterbury,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.282606,1.0720277,n/a,Hello Student,1326.0,306.0,13158.0,n/a,Classic Bigger 1-Bed Apartment - Balcony,studio,9.9,shorter tenancy,43
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,424.67,98.0,4214.0,n/a,Classic 4 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,429.0,99.0,4257.0,n/a,Classic 3 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,sold out,GBP,05/07/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,459.33,106.0,3816.0,n/a,Classic 3 Bed Apartment,non-ensuite,8.3,shorter tenancy,36
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,available,GBP,23/08/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,667.33,154.0,6622.0,n/a,Classic 2 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,758.33,175.0,7525.0,n/a,Classic Studio,studio,9.9,shorter tenancy,43
2023/2024,"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN","Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",Caledonia Mills,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,Stoke,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,53.0153545,-2.1887791,n/a,Hello Student,797.33,184.0,7912.0,n/a,Classic 1-Bed Apartment,studio,9.9,shorter tenancy,43
2023/2024,"William and Matthew House, 32 - 34 Colston Street, Bristol BS1 5AE","Ideally located for students of the University of Bristol, William and Matthew House is close to the main campus and to transport links around the city. Plus, the city centres world-class shopping centres, luxurious boutiques, independent cafes, bars, nightclubs, and restaurants are all close by.Choose from a range of studios and two or three bedroom apartments. Furnished to the highest standard, as standard. Plus, theres a load of great shared facilities. Stay in shape at the gym. And stay relaxed, scared, laughing (depending on the film) at the cinema. Ultra-modern apartments in a historic city. William and Matthew House offers exceptional accommodation, beyond anything youd expect.Whats more each room comes with free wifi and free contents insurance! Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",William & Matthew House,n/a,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,Bristol,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.455488,-2.5996406,n/a,Hello Student,1165.67,269.0,11567.0,n/a,Classic Smaller 3 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,"William and Matthew House, 32 - 34 Colston Street, Bristol BS1 5AE","Ideally located for students of the University of Bristol, William and Matthew House is close to the main campus and to transport links around the city. Plus, the city centres world-class shopping centres, luxurious boutiques, independent cafes, bars, nightclubs, and restaurants are all close by.Choose from a range of studios and two or three bedroom apartments. Furnished to the highest standard, as standard. Plus, theres a load of great shared facilities. Stay in shape at the gym. And stay relaxed, scared, laughing (depending on the film) at the cinema. Ultra-modern apartments in a historic city. William and Matthew House offers exceptional accommodation, beyond anything youd expect.Whats more each room comes with free wifi and free contents insurance! Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",William & Matthew House,n/a,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,Bristol,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.455488,-2.5996406,n/a,Hello Student,1222.0,282.0,12126.0,n/a,Classic 3 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
